County,Type,Facility Name,Street Address,City,State,ZIP,Location
Onondaga,Grocery,"Brothers Fine Foods, Inc.",Dudley St,Syracuse,NY,13204,"Dudley St
Syracuse, NY 13204
(43.035146790000056, -76.16996239999997)"
Queens,Grocery,Elmhurst Food Bazar Inc,Broadway,Elmhurst,NY,11373,"Broadway
Elmhurst, NY 11373
(40.74279338200006, -73.88258798999993)"
Nassau,Pharmacy Only,Walgreens #03457,Front St,Hempstead,NY,11550,"Front St
Hempstead, NY 11550
(40.707094002000076, -73.61954904299995)"
Essex,Grocery (Formula Allowed),Price Chopper #180,Saranac Ave,Lake Placid,NY,12946,"Saranac Ave
Lake Placid, NY 12946
(44.295934472000056, -74.00079264799996)"
Washington,Grocery,Stewart's Shop #211,Poultney St,Whitehall,NY,12887,"Poultney St
Whitehall, NY 12887
(43.550188148000075, -73.39636916199998)"
Kings,Grocery,Amazing African / American Food & G,Clarkson Avenue,Brooklyn,NY,11212,"Clarkson Avenue
Brooklyn, NY 11212
(40.65960905900005, -73.92245076899997)"
New York,Grocery,Cherry Valley Market Place,East 115th St,New York,NY,10029,"East 115th St
New York, NY 10029
(40.79717983200004, -73.94030275699998)"
Bronx,Pharmacy Only,Walgreens #5074,Westchester Sq,Bronx,NY,10461,"Westchester Sq
Bronx, NY 10461
(40.84112007400006, -73.84280971399994)"
Westchester,Grocery,Soto Deli Grocery,North Broadway,Yonkers,NY,10701,"North Broadway
Yonkers, NY 10701
(40.96340476000006, -73.88537458199994)"
Nassau,Pharmacy Only,CVS Pharmacy #332,N. Broadway,Jericho,NY,11753,"N. Broadway
Jericho, NY 11753
(40.78672832400008, -73.53447942699995)"
Bronx,Grocery,Matanza Deli Grocery Corp,Laconia Avenue,Bronx,NY,10466,"Laconia Avenue
Bronx, NY 10466
(40.885905526000045, -73.84816078999995)"
Putnam,Grocery w/ Pharmacy inside,ShopRite #235,Route 52,Carmel,NY,10512,"Route 52
Carmel, NY 10512
(41.47205009500004, -73.66754991899995)"
Madison,Grocery (Formula Allowed),Tops #359,West Genesee St,Chittenango,NY,13037,"West Genesee St
Chittenango, NY 13037
(43.04570478900007, -75.88608650099997)"
Kings,Grocery,Western Beef,Jamaica Avenue,Brooklyn,NY,11208,"Jamaica Avenue
Brooklyn, NY 11208
(40.68766628100008, -73.87753794099996)"
Saratoga,Grocery w/ Pharmacy inside,Market 32 By Price Chopper #39,Ny-50,Saratoga Springs,NY,12866,"Ny-50
Saratoga Springs, NY 12866
(43.08017180000007, -73.78767019999998)"
Saratoga,Grocery (Formula Allowed),Target T-1271,Route 50,Saratoga Springs,NY,12866,"Route 50
Saratoga Springs, NY 12866
(43.12513022300004, -73.71808154899998)"
Kings,Grocery,Super 13,13th Ave,Brooklyn,NY,11219,"13th Ave
Brooklyn, NY 11219
(40.63158039700005, -73.99565512699996)"
St. Lawrence,Grocery (Formula Allowed),Price Chopper #32,Harte Haven Plaza,Massena,NY,13662,"Harte Haven Plaza
Massena, NY 13662
(44.92054329300004, -74.88490660099995)"
Bronx,Grocery,"Big G Deli,inc",Jerome Ave,Bronx,NY,10467,"Jerome Ave
Bronx, NY 10467
(40.886553665000065, -73.87837743699998)"
St. Lawrence,Grocery w/ Pharmacy inside,Walmart Supercenter #1946,Stephenville Street,Massena,NY,13662,"Stephenville Street
Massena, NY 13662
(44.92528030500006, -74.87615320599997)"
Queens,Pharmacy Only,Franhill Pharmacy Llc,Hillside Ave,Hollis,NY,11423,"Hillside Ave
Hollis, NY 11423
(40.71784770700003, -73.76630397799994)"
Queens,Pharmacy Only,Walgreens #02055,Francis Lewis Blvd,Jamaica,NY,11429,"Francis Lewis Blvd
Jamaica, NY 11429
(40.70741383200004, -73.75124552799997)"
New York,Pharmacy Only,"Lenox Terrace Pharmacy, Inc.",West 135th Street,New York,NY,10037,"West 135th Street
New York, NY 10037
(40.81345458800007, -73.93927278599995)"
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2587,Farrington St,Flushing,NY,11354,"Farrington St
Flushing, NY 11354
(40.76687964600006, -73.83276177499994)"
OOS,Grocery (Formula Allowed),Tops Market #650,N Elmira Street,Sayre,PA,18840,"N Elmira Street
Sayre, PA 18840
(41.98123772100007, -76.54288331999999)"
Queens,Grocery,W & K Grocery Inc,Roosevelt Av,Jackson Heights,NY,11372,"Roosevelt Av
Jackson Heights, NY 11372
(40.74786229600005, -73.88194351399994)"
Orange,Grocery w/ Pharmacy inside,Hannaford Food & Drug #8331,Route 32,New Windsor,NY,12553,"Route 32
New Windsor, NY 12553
(41.446650340000076, -74.05667957699995)"
Queens,Grocery (Formula Allowed),Ideal Food Basket,137th Av,Jamaica,NY,11434,"137th Av
Jamaica, NY 11434
(40.672207066000055, -73.77331632299996)"
Rockland,Grocery,Madanim Supermarket Inc.,Washington Av,Spring Valley,NY,10977,"Washington Av
Spring Valley, NY 10977
(41.14015335700003, -74.02973690499994)"
Columbia,Grocery w/ Pharmacy inside,Hannaford Food & Drug #8364,"Route 9, Suite 400",Valatie,NY,12184,"Route 9, Suite 400
Valatie, NY 12184
(42.40705552700007, -73.69107597999994)"
New York,Pharmacy Only,Duane Reade #14408,Broadway,New York,NY,10013,"Broadway
New York, NY 10013
(40.71901496000004, -74.00217008399994)"
Kings,Grocery,New Dhaka Grocery & Halal Meat Corp,Crescent Street,Brooklyn,NY,11208,"Crescent Street
Brooklyn, NY 11208
(40.67475450400008, -73.86984709899997)"
Bronx,Grocery,Mard Deli Grocery Corp,Webster Avenue,Bronx,NY,10457,"Webster Avenue
Bronx, NY 10457
(40.846303298000066, -73.90172754899999)"
Ontario,Grocery w/ Pharmacy inside,Wegmans Food Market #74,Hamilton St,Geneva,NY,14456,"Hamilton St
Geneva, NY 14456
(42.85840190500005, -76.99678158799998)"
Suffolk,Grocery (Formula Allowed),Super Stop & Shop #551,Montauk Highway,Bay Shore,NY,11706,"Montauk Highway
Bay Shore, NY 11706
(40.726926596000055, -73.23337353099998)"
Monroe,Grocery (Formula Allowed),Tops Market #416,Jefferson Ro,Rochester,NY,14623,"Jefferson Ro
Rochester, NY 14623
(43.08715708100004, -77.61750236299997)"
Kings,Grocery,"Avenue H Deli, Inc.",Avenue H,Brooklyn,NY,11234,"Avenue H
Brooklyn, NY 11234
(40.63291884400007, -73.92723190199996)"
Kings,Pharmacy Only,Fine Care Pharmacy,Broadway,Brooklyn,NY,11207,"Broadway
Brooklyn, NY 11207
(40.681534072000034, -73.90807446599996)"
Bronx,Grocery,Food Universe Marketplace,University Avenue,Bronx,NY,10468,"University Avenue
Bronx, NY 10468
(40.864550000000065, -73.90402999999998)"
Essex,Grocery w/ Pharmacy inside,Walmart #2424,Wicker Street,Ticonderoga,NY,12883,"Wicker Street
Ticonderoga, NY 12883
(43.857312198000045, -73.43812841499994)"
Kings,Pharmacy Only,"Rafieh Pharmacy, Inc.",Lee Avenue,Brooklyn,NY,11211,"Lee Avenue
Brooklyn, NY 11211
(40.704744756000025, -73.95884080099995)"
Bronx,Grocery,Pioneer,Whiteplains Road,Bronx,NY,10466,"Whiteplains Road
Bronx, NY 10466
(40.88570831100003, -73.86166514799999)"
Suffolk,Grocery,La Plaza Mini Market Corp,Straight Path,Wyandanch,NY,11798,"Straight Path
Wyandanch, NY 11798
(40.752172306000034, -73.36148767499998)"
Queens,Grocery,Merrick Farm Country,Merrick Boulevard,Rosedale,NY,11422,"Merrick Boulevard
Rosedale, NY 11422
(40.67417245100006, -73.72751925699998)"
Kings,Grocery,Peace And Love Deli And Grocery Cor,3rd Av,Brooklyn,NY,11220,"3rd Av
Brooklyn, NY 11220
(40.64558673700003, -74.01697716999996)"
Queens,Grocery (Formula Allowed),Foodtown,Jamaica Ave,Jamaica,NY,11432,"Jamaica Ave
Jamaica, NY 11432
(40.70641307900007, -73.79248723899997)"
Nassau,Grocery,ShopRite,Jerusalem Ave,Uniondale,NY,11553,"Jerusalem Ave
Uniondale, NY 11553
(40.698853686000064, -73.58827307199994)"
Warren,Grocery (Formula Allowed),Price Chopper #170,Amherst St,Lake George,NY,12845,"Amherst St
Lake George, NY 12845
(43.42663969000006, -73.71424945999996)"
Dutchess,Grocery (Formula Allowed),ShopRite Of Lagrangeville #244,Route 82,Lagrangeville,NY,12540,"Route 82
Lagrangeville, NY 12540
(41.66006257300006, -73.76097691799998)"
Queens,Pharmacy Only,"Mil-Rue Chemists, Inc.",Fresh Pond Rd,Ridgewood,NY,11385,"Fresh Pond Rd
Ridgewood, NY 11385
(40.706887246000065, -73.89712512499995)"
Suffolk,Pharmacy Only,CVS Pharmacy #7621,Montauk Highway,Copiague,NY,11726,"Montauk Highway
Copiague, NY 11726
(40.66893312900004, -73.39314729199998)"
Suffolk,Grocery,ShopRite Of Commack,Garet Pl,Commack,NY,11725,"Garet Pl
Commack, NY 11725
(40.80656005600008, -73.28694104699997)"
Suffolk,Pharmacy Only,CVS Pharmacy #390,Hawkins Avenue,Lake Ronkonkoma,NY,11779,"Hawkins Avenue
Lake Ronkonkoma, NY 11779
(40.82612445800004, -73.10745411399995)"
Kings,Pharmacy Only,Nate's Pharmacy,Van Brunt St,Brooklyn,NY,11231,"Van Brunt St
Brooklyn, NY 11231
(40.67971025200006, -74.01011597499996)"
Kings,Grocery (Formula Allowed),Target Store T-2212,Flatbush Ave,Brooklyn,NY,11210,"Flatbush Ave
Brooklyn, NY 11210
(40.63046320700005, -73.94516141499997)"
Kings,Grocery,Wegmans #111,Flushing Avenue,Brooklyn,NY,11205,"Flushing Avenue
Brooklyn, NY 11205
(40.69763759800003, -73.96533357099997)"
Queens,Grocery,J E Grocery Food Center Corp.,New Haven Av,Far Rockaway,NY,11691,"New Haven Av
Far Rockaway, NY 11691
(40.59890196300006, -73.74902248899997)"
Clinton,Grocery w/ Pharmacy inside,Walmart #1994,Consumer Sq,Plattsburgh,NY,12901,"Consumer Sq
Plattsburgh, NY 12901
(44.695761782000034, -73.48774901699994)"
Tioga,Grocery (Formula Allowed),Spencer Shurfine Food Mart,North Main Street,Spencer,NY,14883,"North Main Street
Spencer, NY 14883
(42.21732877200003, -76.49297999099997)"
Bronx,Grocery,Pioneer Supermarket,West Kingsbridge Road,Bronx,NY,10468,"West Kingsbridge Road
Bronx, NY 10468
(40.86822929500005, -73.90084525199995)"
Suffolk,Pharmacy Only,Officerx Specialty Pharmacy Inc.,Commack Road,Commack,NY,11725,"Commack Road
Commack, NY 11725
(40.81927835500005, -73.29357299299994)"
Kings,Grocery,"Kosher Corner Supermarket, Inc.",Mcdonald Ave,Brooklyn,NY,11223,"Mcdonald Ave
Brooklyn, NY 11223
(40.59946685800003, -73.97290552199996)"
Albany,Grocery (Formula Allowed),Market 32 By Price Chopper #23,Madison Ave,Albany,NY,12210,"Madison Ave
Albany, NY 12210
(42.65034853900005, -73.76401056599997)"
Livingston,Grocery w/ Pharmacy inside,Tops Market #520,Franklin Plaza,Dansville,NY,14437,"Franklin Plaza
Dansville, NY 14437
(42.56345615300006, -77.71077711499998)"
Seneca,Grocery w/ Pharmacy inside,Walmart Supercenter #1705,North Road,Waterloo,NY,13165,"North Road
Waterloo, NY 13165
(42.911963359000026, -76.85124948599997)"
Kings,Grocery,New Punjab Grocery Corp.,Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.622635510000066, -73.96477307099997)"
Erie,Grocery w/ Pharmacy inside,Tops Market #227,Transit Rd,East Amherst,NY,14051,"Transit Rd
East Amherst, NY 14051
(43.04306001500004, -78.69690989999998)"
Jefferson,Grocery (Formula Allowed),Alexandria Bay Big M,Route 12,Alexandria Bay,NY,13607,"Route 12
Alexandria Bay, NY 13607
(44.31309711200004, -75.94007738899995)"
Otsego,Grocery w/ Pharmacy inside,Walmart #2262,Ny-23,Oneonta,NY,13820,"Ny-23
Oneonta, NY 13820
(42.49713789700007, -75.12568320899999)"
Nassau,Grocery (Formula Allowed),Foodtown,Hillside Av,New Hyde Park,NY,11040,"Hillside Av
New Hyde Park, NY 11040
(40.74429926900007, -73.69189284199996)"
Queens,Pharmacy Only,Primacare Plus Pharmacy Inc.,Main St,Flushing,NY,11354,"Main St
Flushing, NY 11354
(40.76068834200004, -73.83068035899998)"
Queens,Grocery (Formula Allowed),Ideal Food Basket,Foch Bo,Jamaica,NY,11436,"Foch Bo
Jamaica, NY 11436
(40.679178216000025, -73.79791944899995)"
Bronx,Grocery,Carino Grocery,East 182nd Street,Bronx,NY,10457,"East 182nd Street
Bronx, NY 10457
(40.85534083400006, -73.89871502099999)"
New York,Pharmacy Only,Duane Reade #14327,3rd Ave,New York,NY,10128,"3rd Ave
New York, NY 10128
(40.78235355900006, -73.95141896399997)"
Rockland,Pharmacy Only,Valley Pharmacy,Kennedy Dr,Spring Valley,NY,10977,"Kennedy Dr
Spring Valley, NY 10977
(41.103348174000075, -74.05716082099997)"
New York,Pharmacy Only,Duane Reade #14382,W 135th St,New York,NY,10030,"W 135th St
New York, NY 10030
(40.81563429500005, -73.94446158199997)"
Kings,Pharmacy Only,New Brooklyn Pharmacy Inc.,Flatbush Ave,Brooklyn,NY,11210,"Flatbush Ave
Brooklyn, NY 11210
(40.63046320700005, -73.94516141499997)"
Onondaga,Grocery w/ Pharmacy inside,Walmart Supercenter #5242,Brewerton Ro,Cicero,NY,13039,"Brewerton Ro
Cicero, NY 13039
(43.16923757300003, -76.11715264099996)"
Columbia,Grocery w/ Pharmacy inside,Walmart Supercenter #2097,Fairview Av,Hudson,NY,12534,"Fairview Av
Hudson, NY 12534
(42.26462339100004, -73.76331280299996)"
Bronx,Grocery,Fine Fare,Webster Avenue,Bronx,NY,10458,"Webster Avenue
Bronx, NY 10458
(40.86344000400004, -73.88908991199997)"
Rockland,Grocery (Formula Allowed),Key Food,North Main St,Spring Valley,NY,10977,"North Main St
Spring Valley, NY 10977
(41.13109388100003, -74.04033416799996)"
Suffolk,Grocery (Formula Allowed),King Kullen #16,N Wellwood Ave,Lindenhurst,NY,11757,"N Wellwood Ave
Lindenhurst, NY 11757
(40.69530784800003, -73.38004516199999)"
Queens,Grocery,Maliki Grocery Inc,Liberty Avenue,South Richmond Hil,NY,11419,"Liberty Avenue
South Richmond Hil, NY 11419
(40.68703723500005, -73.82211138799994)"
Monroe,Grocery w/ Pharmacy inside,Wegmans Food Market #24,Pittsford-Palmyra Rd,Fairport,NY,14450,"Pittsford-Palmyra Rd
Fairport, NY 14450
(43.06890099900005, -77.42625799199999)"
Queens,Grocery,90 St Mini Shop Inc,Jamaica Av,Woodhaven,NY,11421,"Jamaica Av
Woodhaven, NY 11421
(40.692639471000064, -73.85706776699993)"
Orange,Grocery,C & W Food Center,Apta Way Unit 104,Monroe,NY,10950,"Apta Way Unit 104
Monroe, NY 10950
(41.33822382300008, -74.17003504699994)"
Cattaraugus,Grocery w/ Pharmacy inside,Tops Market #206,W State St,Olean,NY,14760,"W State St
Olean, NY 14760
(42.07711337600006, -78.45810702499995)"
Kings,Grocery,Nafaya Food Service Corp.,Bedford Av,Brooklyn,NY,11225,"Bedford Av
Brooklyn, NY 11225
(40.66296208700004, -73.95715065099995)"
Bronx,Grocery,Associated Supermarket,Richman Plaza,Bronx,NY,10453,"Richman Plaza
Bronx, NY 10453
(40.852050027000075, -73.92237100599993)"
Monroe,Grocery (Formula Allowed),Tops Market #412,S Clinton Avenue,Rochester,NY,14618,"S Clinton Avenue
Rochester, NY 14618
(43.115639368000075, -77.59688201099993)"
Dutchess,Pharmacy Only,Walgreens #12158,Route 9,Wappingers Falls,NY,12590,"Route 9
Wappingers Falls, NY 12590
(41.564564062000045, -73.90537777999998)"
Schenectady,Grocery w/ Pharmacy inside,Price Chopper #175,Altamont Ave,Schenectady,NY,12303,"Altamont Ave
Schenectady, NY 12303
(42.78671998100003, -73.94212500699996)"
Suffolk,Pharmacy Only,CVS Pharmacy #1950,Connetquot Avenue,Islip Terrace,NY,11752,"Connetquot Avenue
Islip Terrace, NY 11752
(40.759928279000064, -73.17225939599996)"
Erie,Grocery (Formula Allowed),Target Store T-1013,Delaware Avenue,Buffalo,NY,14216,"Delaware Avenue
Buffalo, NY 14216
(42.946945879000054, -78.86840091099998)"
Kings,Grocery,Star Food Center Inc.,14th Ave,Brooklyn,NY,11219,"14th Ave
Brooklyn, NY 11219
(40.630274556000074, -73.99347541899994)"
Queens,Grocery (Formula Allowed),Key Food,108th St,Corona,NY,11368,"108th St
Corona, NY 11368
(40.747493503000044, -73.85710302899997)"
Kings,Grocery w/ Pharmacy inside,"Newkirk Pharmacy, Inc.",Newkirk Avenue,Brooklyn,NY,11226,"Newkirk Avenue
Brooklyn, NY 11226
(40.63924942500006, -73.95558115699998)"
Richmond,Grocery,C-Town Supermarkets,Clove Rd. Ste F And U,Staten Island,NY,10304,"Clove Rd. Ste F And U
Staten Island, NY 10304
(40.606586771000025, -74.08752502999994)"
Queens,Grocery,Nina Shop Inc.,Myrtle Ave,Ridgewood,NY,11385,"Myrtle Ave
Ridgewood, NY 11385
(40.701940439000055, -73.88086489399996)"
New York,Pharmacy Only,Duane Reade #14276,Broadway,New York,NY,10001,"Broadway
New York, NY 10001
(40.74723323100005, -73.98836605399998)"
Nassau,Pharmacy Only,Walgreens #07831,Langdale St,New Hyde Park,NY,11040,"Langdale St
New Hyde Park, NY 11040
(40.74560437000008, -73.70136806099998)"
Bronx,Pharmacy Only,Rite Way Pharmacy,Westchester Av,Bronx,NY,10472,"Westchester Av
Bronx, NY 10472
(40.83013549200007, -73.87243343599994)"
Queens,Grocery,Key Food Fresh,Linden Boulevard,Jamaica,NY,11434,"Linden Boulevard
Jamaica, NY 11434
(40.69132402200006, -73.78015934999996)"
Kings,Pharmacy Only,"Sunshine Pharmacy Of Ny, Inc.",Kingston Avenue,Brooklyn,NY,11225,"Kingston Avenue
Brooklyn, NY 11225
(40.663215405000074, -73.94277608699997)"
Kings,Grocery (Formula Allowed),Bravo Supermarket,Myrtle Ave,Brooklyn,NY,11205,"Myrtle Ave
Brooklyn, NY 11205
(40.69422280600003, -73.95920024599997)"
Nassau,Grocery,Keyla Deli Inc.,North Franklin St,Hempstead,NY,11550,"North Franklin St
Hempstead, NY 11550
(40.71117552100003, -73.62841124899995)"
Queens,Grocery (Formula Allowed),C-Town Supermarkets,28th Ave,Astoria,NY,11103,"28th Ave
Astoria, NY 11103
(40.76491771000008, -73.91250565899998)"
Bronx,Grocery,Compare Supermarket,Westchester Avenue,Bronx,NY,10472,"Westchester Avenue
Bronx, NY 10472
(40.83013549200007, -73.87243343599994)"
Bronx,Grocery,Baraka African Market Store,Webster Avenue,Bronx,NY,10456,"Webster Avenue
Bronx, NY 10456
(40.833849875000055, -73.90874267999999)"
Richmond,Grocery,Superfresh,Manor Road,Staten Island,NY,10314,"Manor Road
Staten Island, NY 10314
(40.61111088000007, -74.12177304399995)"
Wayne,Grocery,Save-A-Lot Ontario,State Route 104,Ontario,NY,14519,"State Route 104
Ontario, NY 14519
(43.23099558500007, -77.25206995299999)"
Kings,Grocery,Qq Bebe Grocery Inc,Fulton Street,Brooklyn,NY,11208,"Fulton Street
Brooklyn, NY 11208
(40.68252250900008, -73.87610519199995)"
New York,Grocery,City Fresh Market,East 116th Street,New York,NY,10029,"East 116th Street
New York, NY 10029
(40.79753009600006, -73.93901974299996)"
Westchester,Grocery (Formula Allowed),Stop & Shop #532,White Plains Road,Eastchester,NY,10709,"White Plains Road
Eastchester, NY 10709
(40.95843477300008, -73.81279541599997)"
Suffolk,Pharmacy Only,CVS Pharmacy #5753,Montauk Highway,Center Moriches,NY,11934,"Montauk Highway
Center Moriches, NY 11934
(40.800284574000045, -72.79238935699993)"
Suffolk,Grocery w/ Pharmacy inside,Stop & Shop #563,Sunrise Highway,Holbrook,NY,11741,"Sunrise Highway
Holbrook, NY 11741
(40.767207738000025, -73.07355038399999)"
Suffolk,Grocery (Formula Allowed),King Kullen # 47,East Montauk Highway,Hampton Bays,NY,11946,"East Montauk Highway
Hampton Bays, NY 11946
(40.88200133600003, -72.51068674799996)"
Queens,Grocery,T & T Deli & Grill,101st Avenue,South Richmond Hil,NY,11419,"101st Avenue
South Richmond Hil, NY 11419
(40.69060500900008, -73.82368476199997)"
New York,Grocery,Morton Williams Supermarket,E 23 St,New York,NY,10010,"E 23 St
New York, NY 10010
(40.73762968200003, -73.98023571499994)"
Oswego,Grocery w/ Pharmacy inside,Walmart Supercenter #1926,State Route 104,Oswego,NY,13126,"State Route 104
Oswego, NY 13126
(43.465843352000036, -76.41109358599994)"
Westchester,Grocery (Formula Allowed),C-Town Supermarkets,Main Street,New Rochelle,NY,10801,"Main Street
New Rochelle, NY 10801
(40.90945003600007, -73.78071391799995)"
Niagara,Grocery w/ Pharmacy inside,Tops Market #275,Rochester Ro,Lockport,NY,14094,"Rochester Ro
Lockport, NY 14094
(43.184739095000054, -78.63195483599998)"
Kings,Pharmacy Only,"Eliyahu's Pharmacy, Inc.",Kings Hw,Brooklyn,NY,11223,"Kings Hw
Brooklyn, NY 11223
(40.60437855200007, -73.97403809399998)"
Suffolk,Pharmacy Only,CVS Pharmacy #2059,Little East Neck Road,Babylon,NY,11704,"Little East Neck Road
Babylon, NY 11704
(40.712618613000075, -73.35075875599995)"
Ulster,Pharmacy Only,Walgreens #2077,Broadway,Kingston,NY,12401,"Broadway
Kingston, NY 12401
(41.92640847100006, -73.99558031099997)"
Nassau,Pharmacy Only,CVS Pharmacy #1216,Old Country Road,Plainview,NY,11803,"Old Country Road
Plainview, NY 11803
(40.77562715900007, -73.47300140699997)"
New York,Pharmacy Only,Farmacia San Rafael,St Nicholas Ave,New York,NY,10033,"St Nicholas Ave
New York, NY 10033
(40.84860025000006, -73.93426215499994)"
Bronx,Grocery,58 Burnside Food Corp.,West Burnside Avenue,Bronx,NY,10453,"West Burnside Avenue
Bronx, NY 10453
(40.85396964100005, -73.90944653299994)"
New York,Pharmacy Only,Duane Reade #14524,Broadway,New York,NY,10019,"Broadway
New York, NY 10019
(40.76375672200004, -73.98261898099997)"
Queens,Grocery (Formula Allowed),Food Bazaar,Junction Boulevard,Corona,NY,11368,"Junction Boulevard
Corona, NY 11368
(40.74791791700005, -73.86863255899993)"
Rockland,Grocery,Monsey Glatt Kosher Inc,Rte 59,Monsey,NY,10952,"Rte 59
Monsey, NY 10952
(41.10881415000006, -74.07769008099996)"
Kings,Pharmacy Only,J Drugs,Avenue J,Brooklyn,NY,11230,"Avenue J
Brooklyn, NY 11230
(40.62462609600004, -73.96661108399996)"
Kings,Pharmacy Only,"YMD Pharmacy, Inc.",Utica Avenue,Brooklyn,NY,11203,"Utica Avenue
Brooklyn, NY 11203
(40.65015908600003, -73.93021685199994)"
Westchester,Grocery,C & L Piccola Inc,Union Avenue,New Rochelle,NY,10801,"Union Avenue
New Rochelle, NY 10801
(40.911539049000055, -73.78557742999999)"
New York,Pharmacy Only,Duane Reade #14260,7th Ave,New York,NY,10011,"7th Ave
New York, NY 10011
(40.74066519400003, -73.99814768499994)"
Westchester,Grocery,Jose's Fresh Fruits & Vegetables,South Broadway,Yonkers,NY,10705,"South Broadway
Yonkers, NY 10705
(40.91909889600004, -73.89638091799998)"
Queens,Grocery (Formula Allowed),Key Food,Rockaway Beach Blvd,Rockaway Beach,NY,11693,"Rockaway Beach Blvd
Rockaway Beach, NY 11693
(40.58745641200005, -73.81192655399997)"
Albany,Grocery w/ Pharmacy inside,Price Chopper #138,New Loudon Road,Latham,NY,12110,"New Loudon Road
Latham, NY 12110
(42.745690472000035, -73.76144872599997)"
Ontario,Grocery (Formula Allowed),Byrne Dairy #52,Castle St,Geneva,NY,14456,"Castle St
Geneva, NY 14456
(42.87029602500007, -76.99572960099994)"
Kings,Grocery (Formula Allowed),C-Town Supermarkets,Central Av,Brooklyn,NY,11221,"Central Av
Brooklyn, NY 11221
(40.695387115000074, -73.92039851399994)"
Monroe,Grocery w/ Pharmacy inside,Wegmans Food Market #63,Penfield Rd,Penfield,NY,14526,"Penfield Rd
Penfield, NY 14526
(43.130859024000074, -77.44875870399994)"
Chemung,Grocery w/ Pharmacy inside,Weis Markets Inc,North Main Street,Elmira,NY,14901,"North Main Street
Elmira, NY 14901
(42.09791353300005, -76.81257080799998)"
Bronx,Grocery,Compare Foods,Jerome Av,Bronx,NY,10452,"Jerome Av
Bronx, NY 10452
(40.83767950500004, -73.91998500499994)"
Queens,Grocery,Myrtle Grocery Inc.,Myrtle Avenue,Ridgewood,NY,11385,"Myrtle Avenue
Ridgewood, NY 11385
(40.701940439000055, -73.88086489399996)"
Rockland,Grocery,Redelicious Supermarket,Route 59,Monsey,NY,10952,"Route 59
Monsey, NY 10952
(41.10908159600007, -74.07929163599994)"
Bronx,Grocery,Shop Fair Supermarket Supermarket,East 170th Street,Bronx,NY,10456,"East 170th Street
Bronx, NY 10456
(40.83469999600004, -73.90219093699994)"
New York,Pharmacy Only,Duane Reade #14153,3rd Ave,New York,NY,10022,"3rd Ave
New York, NY 10022
(40.75865850300005, -73.96869622399998)"
